date,year,month,day,weekday,weekday_name,is_weekend,week_of_year
2017-09-11,2017,9,11,0,周一,0,37
2017-09-12,2017,9,12,1,周二,0,37
2017-09-13,2017,9,13,2,周三,0,37
2017-09-14,2017,9,14,3,周四,0,37
2017-09-15,2017,9,15,4,周五,0,37
2017-09-16,2017,9,16,5,周六,1,37
2017-09-17,2017,9,17,6,周日,1,37
2017-09-18,2017,9,18,0,周一,0,38
2017-09-19,2017,9,19,1,周二,0,38
2017-09-20,2017,9,20,2,周三,0,38
2017-09-21,2017,9,21,3,周四,0,38
2017-09-22,2017,9,22,4,周五,0,38
2017-09-23,2017,9,23,5,周六,1,38
2017-09-24,2017,9,24,6,周日,1,38
2017-09-25,2017,9,25,0,周一,0,39
2017-09-26,2017,9,26,1,周二,0,39
2017-09-27,2017,9,27,2,周三,0,39
2017-09-28,2017,9,28,3,周四,0,39
2017-09-29,2017,9,29,4,周五,0,39
2017-09-30,2017,9,30,5,周六,1,39
2017-10-01,2017,10,1,6,周日,1,39
2017-10-02,2017,10,2,0,周一,0,40
2017-10-03,2017,10,3,1,周二,0,40
2017-10-04,2017,10,4,2,周三,0,40
2017-10-05,2017,10,5,3,周四,0,40
2017-10-06,2017,10,6,4,周五,0,40
2017-10-07,2017,10,7,5,周六,1,40
2017-10-08,2017,10,8,6,周日,1,40
2017-10-09,2017,10,9,0,周一,0,41
2017-10-10,2017,10,10,1,周二,0,41
2017-10-11,2017,10,11,2,周三,0,41
2017-10-12,2017,10,12,3,周四,0,41
2017-10-13,2017,10,13,4,周五,0,41
2017-10-14,2017,10,14,5,周六,1,41
2017-10-15,2017,10,15,6,周日,1,41
2017-10-16,2017,10,16,0,周一,0,42
2017-10-17,2017,10,17,1,周二,0,42
2017-10-18,2017,10,18,2,周三,0,42
2017-10-19,2017,10,19,3,周四,0,42
2017-10-20,2017,10,20,4,周五,0,42
2017-10-21,2017,10,21,5,周六,1,42
2017-10-22,2017,10,22,6,周日,1,42
2017-10-23,2017,10,23,0,周一,0,43
2017-10-24,2017,10,24,1,周二,0,43
2017-10-25,2017,10,25,2,周三,0,43
2017-10-26,2017,10,26,3,周四,0,43
2017-10-27,2017,10,27,4,周五,0,43
2017-10-28,2017,10,28,5,周六,1,43
2017-10-29,2017,10,29,6,周日,1,43
2017-10-30,2017,10,30,0,周一,0,44
2017-10-31,2017,10,31,1,周二,0,44
2017-11-01,2017,11,1,2,周三,0,44
2017-11-02,2017,11,2,3,周四,0,44
2017-11-03,2017,11,3,4,周五,0,44
2017-11-04,2017,11,4,5,周六,1,44
2017-11-05,2017,11,5,6,周日,1,44
2017-11-06,2017,11,6,0,周一,0,45
2017-11-07,2017,11,7,1,周二,0,45
2017-11-08,2017,11,8,2,周三,0,45
2017-11-09,2017,11,9,3,周四,0,45
2017-11-10,2017,11,10,4,周五,0,45
2017-11-11,2017,11,11,5,周六,1,45
2017-11-12,2017,11,12,6,周日,1,45
2017-11-13,2017,11,13,0,周一,0,46
2017-11-14,2017,11,14,1,周二,0,46
2017-11-15,2017,11,15,2,周三,0,46
2017-11-16,2017,11,16,3,周四,0,46
2017-11-17,2017,11,17,4,周五,0,46
2017-11-18,2017,11,18,5,周六,1,46
2017-11-19,2017,11,19,6,周日,1,46
